external_id,teacher_id,teacher_role,teacher_path,external_view,teacher_view,dhash_distance,ahash_distance,identity_evidence,accepted_overlap,mse,mae,max_difference,crop_mse,crop_mae,foreground_fraction_1,foreground_fraction_2,foreground_ratio
bellavitaorganic.com public catalogue:6871247290414,6836,development,data/raw/teacher/train/images_train/6836.jpg,original,view_,2,0,,False,0.02739226259291172,0.0970253050327301,1.0,0.20731055736541748,0.3584801256656647,0.9994416666666667,0.173125,0.17322171545779727
bellavitaorganic.com public catalogue:6871247290414,22548,holdout,data/raw/teacher/train/images_train/22548.jpg,original,view_,2,0,,False,0.024304578080773354,0.09255067259073257,0.8156862854957581,0.1654255986213684,0.34063521027565,0.9994416666666667,0.17583333333333334,0.17593156178866534
bellavitaorganic.com public catalogue:6871247290414,28266,holdout,data/raw/teacher/train/images_train/28266.jpg,original,view_,2,0,,False,0.03599904477596283,0.10611244291067123,0.9176470637321472,0.17703436315059662,0.31676849722862244,0.9994416666666667,0.20020833333333332,0.20032017876647792
bellavitaorganic.com public catalogue:6871247290414,28268,holdout,data/raw/teacher/train/images_train/28268.jpg,original,view_,2,0,,False,0.03378571942448616,0.10402271896600723,0.9058823585510254,0.20154981315135956,0.3568490445613861,0.9994416666666667,0.196875,0.19698498328233263
bellavitaorganic.com public catalogue:6871247290414,40549,holdout,data/raw/teacher/train/images_train/40549.jpg,original,view_,0,3,,False,0.037875574082136154,0.10594520717859268,0.9372549057006836,0.2177642583847046,0.34161052107810974,0.9994416666666667,0.214375,0.21449475957409556
bellavitaorganic.com public catalogue:6871247290414,22550,development,data/raw/teacher/train/images_train/22550.jpg,crop_,original,2,0,,False,0.03966151550412178,0.11081302165985107,0.9411764740943909,0.18043601512908936,0.32624462246894836,0.9994416666666667,0.173125,0.17322171545779727
bellavitaorganic.com public catalogue:6871247290414,23549,development,data/raw/teacher/train/images_train/23549.jpg,crop_,original,2,0,,False,0.02323291264474392,0.08912855386734009,0.9803921580314636,0.2817439138889313,0.4393197000026703,0.9994416666666667,0.179375,0.17947520699056974
bellavitaorganic.com public catalogue:6871247290414,23553,development,data/raw/teacher/train/images_train/23553.jpg,crop_,original,2,0,,False,0.02931963838636875,0.09760453552007675,0.9843137264251709,0.24256356060504913,0.41692742705345154,0.9994416666666667,0.17604166666666668,0.17614001150642444
bellavitaorganic.com public catalogue:6871247290414,23582,development,data/raw/teacher/train/images_train/23582.jpg,crop_,original,2,0,,False,0.04040876030921936,0.10954252630472183,0.8784313797950745,0.07125764340162277,0.18373000621795654,0.9994416666666667,0.15645833333333334,0.1565457380370707
bellavitaorganic.com public catalogue:6871247290414,26027,development,data/raw/teacher/train/images_train/26027.jpg,crop_,original,2,0,,False,0.04134253039956093,0.11226063966751099,0.9490196108818054,0.10578189045190811,0.23668904602527618,0.9994416666666667,0.17104166666666668,0.17113721828020645
bellavitaorganic.com public catalogue:6871247290414,26197,development,data/raw/teacher/train/images_train/26197.jpg,crop_,original,2,0,,False,0.0532902367413044,0.12447436898946762,0.9803921580314636,0.32838210463523865,0.4683590829372406,0.9994416666666667,0.218125,0.21824685449375902
bellavitaorganic.com public catalogue:6871247290414,28264,development,data/raw/teacher/train/images_train/28264.jpg,crop_,original,2,0,,False,0.041363902390003204,0.11295252293348312,0.9725490212440491,0.2312033623456955,0.37894168496131897,0.9994416666666667,0.18333333333333332,0.18343575162799228
bellavitaorganic.com public catalogue:6871247290414,40546,development,data/raw/teacher/train/images_train/40546.jpg,crop_,original,2,4,,False,0.02983798272907734,0.09856545925140381,0.9725490212440491,0.15440352261066437,0.27482858300209045,0.9994416666666667,0.24395833333333333,0.2440946194958852
bellavitaorganic.com public catalogue:6871247290414,43111,development,data/raw/teacher/train/images_train/43111.jpg,crop_,original,2,1,,False,0.05515649914741516,0.12496551871299744,0.9764705896377563,0.2063501626253128,0.3196806013584137,0.9994416666666667,0.23395833333333332,0.23408903304344925
bellavitaorganic.com public catalogue:6871247290414,44074,development,data/raw/teacher/train/images_train/44074.jpg,crop_,original,2,1,,False,0.031071921810507774,0.09874992817640305,0.8705882430076599,0.04855513945221901,0.16735535860061646,0.9994416666666667,0.185625,0.1857286985233422
bellavitaorganic.com public catalogue:6871247290414,44112,development,data/raw/teacher/train/images_train/44112.jpg,crop_,original,2,0,,False,0.024844253435730934,0.08908068388700485,1.0,0.1387483924627304,0.26879242062568665,0.9994416666666667,0.13583333333333333,0.13590921597892155
bellavitaorganic.com public catalogue:6871247290414,44150,development,data/raw/teacher/train/images_train/44150.jpg,crop_,original,2,1,,False,0.024370526894927025,0.0935269221663475,0.9058823585510254,0.15163017809391022,0.2945612370967865,0.9994416666666667,0.205625,0.2057398714282141
bellavitaorganic.com public catalogue:6871247290414,44986,development,data/raw/teacher/train/images_train/44986.jpg,crop_,original,0,4,,False,0.03651409223675728,0.10503566265106201,1.0,0.12977416813373566,0.2511054575443268,0.9994416666666667,0.15166666666666667,0.1517513945286118
bellavitaorganic.com public catalogue:6871247290414,45763,development,data/raw/teacher/train/images_train/45763.jpg,crop_,original,2,0,,False,0.016181625425815582,0.0807020291686058,0.8196078538894653,0.21625642478466034,0.3679482936859131,0.9994416666666667,0.18729166666666666,0.18739629626541485
bellavitaorganic.com public catalogue:6871247290414,49324,development,data/raw/teacher/train/images_train/49324.jpg,crop_,original,0,4,,False,0.033934157341718674,0.10046019405126572,0.9176470637321472,0.055363308638334274,0.15899936854839325,0.9994416666666667,0.1975,0.19761033243560988
bellavitaorganic.com public catalogue:6871247290414,49325,development,data/raw/teacher/train/images_train/49325.jpg,crop_,original,2,6,,False,0.03683888912200928,0.10137197375297546,0.9333333373069763,0.05595339462161064,0.14445656538009644,0.9994416666666667,0.20104166666666667,0.20115397763751428
