model,fold,corruption,macro_f1,induced_change
Gray10,0,jpeg_75,0.7119493819767971,-0.0402058135811295
Gray10,0,brightness_085,0.6668275702801859,-0.0853276252777407
Gray10,0,brightness_115,0.7178894282036923,-0.0342657673542343
Gray10,0,translation_003,0.6910876513125505,-0.0610675442453761
Gray10,0,grayscale,0.7182240919756804,-0.0339311035822462
Gray10,4,jpeg_75,0.7356466625074255,-0.021913288525167
Gray10,4,brightness_085,0.6749499855489,-0.0826099654836926
Gray10,4,brightness_115,0.7158711121534338,-0.0416888388791587
Gray10,4,translation_003,0.7264801306410443,-0.0310798203915482
Gray10,4,grayscale,0.7673714865143783,0.0098115354817857
E6,0,jpeg_75,0.6780195078118116,-0.0615837944875783
E6,0,brightness_085,0.5356952984099637,-0.2039080038894263
E6,0,brightness_115,0.7087297467169908,-0.0308735555823991
E6,0,translation_003,0.5623335534098416,-0.1772697488895483
E6,0,grayscale,0.6947379242543005,-0.0448653780450895
E6,4,jpeg_75,0.7029940275993327,-0.0149873410817616
E6,4,brightness_085,0.5257854595750572,-0.1921959091060372
E6,4,brightness_115,0.6963490596495528,-0.0216323090315415
E6,4,translation_003,0.5848332184063028,-0.1331481502747916
E6,4,grayscale,0.6835445117217007,-0.0344368569593936
NameTruth,0,jpeg_75,0.7783377210565856,-0.0094840766541784
NameTruth,0,brightness_085,0.7795269067140128,-0.0082948909967512
NameTruth,0,brightness_115,0.7594217692608528,-0.0284000284499112
NameTruth,0,translation_003,0.7615710085523852,-0.0262507891583788
NameTruth,0,grayscale,0.7622203482809681,-0.025601449429796
NameTruth,4,jpeg_75,0.7863439613749647,-0.0142823034609476
NameTruth,4,brightness_085,0.7677969243615269,-0.0328293404743853
NameTruth,4,brightness_115,0.7653578344695393,-0.0352684303663729
NameTruth,4,translation_003,0.769122387729583,-0.0315038771063292
NameTruth,4,grayscale,0.7921738009307311,-0.0084524639051811
G2,0,jpeg_75,0.7370868042473784,-0.0278444277715055
G2,0,brightness_085,0.5189297943061735,-0.2460014377127104
G2,0,brightness_115,0.7267994909773619,-0.038131741041522
G2,0,translation_003,0.7289546674803582,-0.0359765645385257
G2,0,grayscale,0.7162979899466626,-0.0486332420722213
G2,4,jpeg_75,0.6951113213156344,-0.0416796287056346
G2,4,brightness_085,0.5198864346738874,-0.2169045153473816
G2,4,brightness_115,0.7100380354864265,-0.0267529145348425
G2,4,translation_003,0.7410327413903532,0.0042417913690842
G2,4,grayscale,0.7069690874964817,-0.0298218625247873
